Formula,Ag,As,Bi,Cu,Ge,In,Pb,S,Sb,Se,Sn,Te,Ti,V,k(W/Km),,,,,,,,,,
(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.9,0.9,0.0,0.0,3.392,,,,,,,,,,
(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7),0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.7,0.7,0.0,0.0,1.27,,,,,,,,,,
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.8,0.8,0.0,0.0,1.811,,,,,,,,,,
(Bi0.23Sb0.77)2Te3,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,3.0,0.0,0.0,0.885,,,,,,,,,,
(GeTe)0.7(AgSnSe2)0.3,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.6,0.3,0.7,0.0,0.0,1.231,,,,,,,,,,
(GeTe)0.8(AgSnSe2)0.2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.2,0.8,0.0,0.0,2.029,,,,,,,,,,
(GeTe)0.9(AgSnSe2)0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.2,0.1,0.9,0.0,0.0,2.712,,,,,,,,,,
(PbTe)0.1(Ag2Te)0.9,1.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.901,,,,,,,,,,
(PbTe)0.15(Ag2Te)0.85,1.7,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.976,,,,,,,,,,
(SnTe)0.84(CuSbTe2)0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.84,1.16,0.0,0.0,3.938,,,,,,,,,,
(SnTe)0.86(CuSbTe2)0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.86,1.1400000000000001,0.0,0.0,3.391,,,,,,,,,,
(SnTe)0.88(CuSbTe2)0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.88,1.12,0.0,0.0,3.516,,,,,,,,,,
(SnTe)0.9(CuSbTe2)0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.9,1.1,0.0,0.0,3.727,,,,,,,,,,
(SnTe)0.92(CuSbTe2)0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.92,1.08,0.0,0.0,3.925,,,,,,,,,,
(SnTe)0.94(CuSbTe2)0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.94,1.06,0.0,0.0,4.435,,,,,,,,,,
(SnTe)0.96(CuSbTe2)0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.96,1.04,0.0,0.0,5.627,,,,,,,,,,
(SnTe)0.98(CuSbTe2)0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.98,1.02,0.0,0.0,6.988,,,,,,,,,,
(SnTe)10Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,13.0,0.0,0.0,2.37,,,,,,,,,,
(SnTe)12Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,15.0,0.0,0.0,2.91,,,,,,,,,,
(SnTe)15Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,18.0,0.0,0.0,3.54,,,,,,,,,,
(SnTe)20Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,23.0,0.0,0.0,4.24,,,,,,,,,,
(SnTe)25Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,28.0,0.0,0.0,4.28,,,,,,,,,,
(SnTe)40Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,43.0,0.0,0.0,5.535,,,,,,,,,,
(SnTe)8Sb2Te3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,11.0,0.0,0.0,2.05,,,,,,,,,,
Ag(Bi0.85Pb0.15)0.7Sb0.3Se2,1.0,0.0,0.595,0.0,0.0,0.0,0.105,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.564,,,,,,,,,,
Ag(Bi0.85Pb0.15)0.9Sb0.1Se2,1.0,0.0,0.765,0.0,0.0,0.0,0.135,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.507,,,,,,,,,,
Ag(Bi0.8Pb0.2)0.9Sb0.1Se2,1.0,0.0,0.7200000000000001,0.0,0.0,0.0,0.18000000000000002,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.468,,,,,,,,,,
Ag(Bi0.9Pb0.1)0.7Sb0.3Se2,1.0,0.0,0.63,0.0,0.0,0.0,0.06999999999999999,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.634,,,,,,,,,,
Ag(Bi0.9Pb0.1)0.9Sb0.1Se2,1.0,0.0,0.81,0.0,0.0,0.0,0.09000000000000001,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.565,,,,,,,,,,
Ag0.01Cu1.965S0.5Se0.5,0.01,0.0,0.0,1.965,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.452,,,,,,,,,,
Ag0.01Sn0.99Se,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.532,,,,,,,,,,
Ag0.01Sn0.99Se0.65S0.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.65,0.99,0.0,0.0,0.0,0.293,,,,,,,,,,
Ag0.01Sn0.99Se0.85S0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.99,0.0,0.0,0.0,0.21,,,,,,,,,,
Ag0.01Sn0.99Se0.8S0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.99,0.0,0.0,0.0,0.199,,,,,,,,,,
Ag0.01Sn0.99Se0.9S0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.99,0.0,0.0,0.0,0.332,,,,,,,,,,
